Title,source,source link,link,link date
AFIMSC single data call frees up civil engineers,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2246644/afimsc-single-data-call-frees-up-civil-engineers/,2021-01-29 14:10
Offutt runway repair contract awarded,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2245475/offutt-runway-repair-contract-awarded/,2021-01-29 14:10
Emergency Management: The ‘in case something happens’ flight,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2245477/emergency-management-the-in-case-something-happens-flight/,2021-01-29 14:10
‘Trailblazing’ advocates start rebuilding trust in privatized housing,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2226074/trailblazing-advocates-start-rebuilding-trust-in-privatized-housing/,2021-01-29 14:10
Assistant Secretary visit pushes optimism for MacDill housing future,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2223857/assistant-secretary-visit-pushes-optimism-for-macdill-housing-future/,2021-01-29 14:10
Air Force taking more actions for PFOS and PFOA at Wurtsmith,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2219079/air-force-taking-more-actions-for-pfos-and-pfoa-at-wurtsmith/,2021-01-29 14:10
"Wounded Warrior recalls dark days, bright recovery",Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2217365/wounded-warrior-recalls-dark-days-bright-recovery/,2021-01-29 14:10
AFCEC study gives new life to old chemical defense decon kits,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2213951/afcec-study-gives-new-life-to-old-chemical-defense-decon-kits/,2021-01-29 14:10
Energy project powers Hill AFB resiliency,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2213455/energy-project-powers-hill-afb-resiliency/,2021-01-29 14:10
AFCEC spearheads Little Rock AFB runway replacement,Air Force Civil Engineering Center,https://www.afcec.af.mil/News/,http://www.afcec.af.mil/News/Article-Display/Article/2210394/afcec-spearheads-little-rock-afb-runway-replacement/,2021-01-29 14:10
