Title,source,source link,link,link date,downloaded on,download success,file name,file path
"HISTORICAL PRODUCTS, SERVICES, AND REQUIREMENTS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi84-101_afosisup/afi84-101_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi84-101_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi84-101_afosisup.pdf
"ORGANIZATIONAL LINEAGE, HONORS, AND HERALDRY",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi84-105_afosisup/afi84-104_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afi84-104_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afi84-104_afosisup.pdf
THE AIR FORCE INSPECTION SYSTEM,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afi90-201_afosisup/afii90-201_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afii90-201_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afii90-201_afosisup.pdf
AFOSI TECHNICAL SURVEILLANCE COUNTERMEASURES SPECIALIST,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afjqs7s0xx-o/afjqs7s0xx-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afjqs7s0xx-o.pdf,../documents/pdfs/AF_epubs/foa/afjqs7s0xx-o.pdf
PREPARING OFFICIAL COMMUNICATIONS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afman33-326_afosisup/afman33-326_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afman33-326_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afman33-326_afosisup.pdf
AWARDS AND MEMORIALIZATION,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afman36-2806_afosisup/afman36-2806_afosisup.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afman36-2806_afosisup.pdf,../documents/pdfs/AF_epubs/foa/afman36-2806_afosisup.pdf
"QUARTERLY AND ANNUAL AWARDS PROGRAM FOR OUTSTANDING OFFICERS, AIRMEN, AND CIVILIANS",Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosihoi36-2806/afosihoi36-2806.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afosihoi36-2806.pdf,../documents/pdfs/AF_epubs/foa/afosihoi36-2806.pdf
PROGRAMMING ACTION DIRECTIVE AND PROGRAMMING PLAN,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii10-501/afosii10-501.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afosii10-501.pdf,../documents/pdfs/AF_epubs/foa/afosii10-501.pdf
LOGISTICS MANAGEMENT (FOUO),Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii20-501-o/afosii20-501-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afosii20-501-o.pdf,../documents/pdfs/AF_epubs/foa/afosii20-501-o.pdf
AFOSI SUPPORT TO NUCLEAR CONVOY MOVEMENTS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii31-101/afosii31-101.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afosii31-101.pdf,../documents/pdfs/AF_epubs/foa/afosii31-101.pdf
ADMINISTRATIVE COMMUNICATIONS AND INFORMATION AND DISTRIBUTION CENTER PROCESS,Air Force E-Publishing,https://www.e-publishing.af.mil/Product-Index/,https://static.e-publishing.af.mil/production/1/afosi/publication/afosii33-302-o/afosii33-302-o.pdf,2021-01-29 14:39,2021-01-29 22:02,True,afosii33-302-o.pdf,../documents/pdfs/AF_epubs/foa/afosii33-302-o.pdf
